epoch,accuracy,loss,val_accuracy,val_loss
0,1.0,0.15663063050650217,1.0,0.15663062642414743
1,1.0,0.1566306272786814,1.0,0.1566306271177336
2,1.0,0.15663062658510007,1.0,0.1566306246635056
3,1.0,0.15663062714530038,1.0,0.15663062807808367
4,1.0,0.15663062715863849,1.0,0.15663062871831707
5,1.0,0.1566306266784668,1.0,0.15663062599732516
6,1.0,0.15663062686520024,1.0,0.15663062615738352
7,1.0,0.15663062707860986,1.0,0.15663062690432247
8,1.0,0.15663062651840956,1.0,0.15663062509032785
9,1.0,0.15663062709194797,1.0,0.15663062642414743
10,1.0,0.1566306266918049,1.0,0.15663062626408908
11,1.0,0.15663062683852402,1.0,0.1566306271177336
12,1.0,0.15663062625164753,1.0,0.1566306267976169
13,1.0,0.1566306266251144,1.0,0.15663062695767524
14,1.0,0.15663062697190505,1.0,0.15663062626408908
15,1.0,0.1566306260115617,1.0,0.15663062722443916
16,1.0,0.15663062629166183,1.0,0.15663062669091132
17,1.0,0.156630626705143,1.0,0.15663062695767524
18,1.0,0.15663062627832372,1.0,0.15663062685096968
19,1.0,0.15663062637169045,1.0,0.15663062749120307
20,1.0,0.15663062627832372,1.0,0.1566306270643808
21,1.0,0.15663062658510007,1.0,0.15663062578391404
22,1.0,0.15663062635835234,1.0,0.15663062749120307
23,1.0,0.1566306261449427,1.0,0.15663062615738352
24,1.0,0.15663062654508578,1.0,0.156630625303739
25,1.0,0.15663062583816634,1.0,0.15663062626408908
26,1.0,0.15663062674515732,1.0,0.15663062493026952
27,1.0,0.1566306260115617,1.0,0.1566306249836223
28,1.0,0.15663062630499994,1.0,0.156630626530853
29,1.0,0.15663062638502853,1.0,0.15663062615738352
30,1.0,0.15663062646505715,1.0,0.15663062674426412
31,1.0,0.15663062646505715,1.0,0.15663062567720848
32,1.0,0.15663062631833805,1.0,0.156630624076625
33,1.0,0.1566306261716189,1.0,0.15663062455680005
34,1.0,0.15663062650507148,1.0,0.15663062818478923
35,1.0,0.15663062586484255,1.0,0.15663062658420576
36,1.0,0.1566306262116332,1.0,0.15663062759790863
37,1.0,0.1566306261582808,1.0,0.156630627757967
38,1.0,0.15663062599822358,1.0,0.15663062807808367
39,1.0,0.15663062645171905,1.0,0.15663062514368065
40,1.0,0.1566306261716189,1.0,0.15663062594397237
41,1.0,0.15663062627832372,1.0,0.1566306255705029
42,1.0,0.15663062562475671,1.0,0.15663062546379733
43,1.0,0.15663062630499994,1.0,0.15663062637079464
44,1.0,0.15663062609159029,1.0,0.15663062701102803
45,1.0,0.15663062619829513,1.0,0.15663062562385568
46,1.0,0.1566306255714043,1.0,0.156630626530853
47,1.0,0.15663062758545776,1.0,0.1566306322396007
48,1.0,0.1566306313067883,1.0,0.1566306316527201
49,1.0,0.1566306319070029,1.0,0.1566306304256061
